"product_id","product_name","brand_id","category_id","model_year","list_price"
"1","Trek 820 - 2016","9","6","2016","379.99"
"2","Ritchey Timberwolf Frameset - 2016","5","6","2016","749.99"
"3","Surly Wednesday Frameset - 2016","8","6","2016","999.99"
"4","Trek Fuel EX 8 29 - 2016","9","6","2016","2899.99"
"5","Heller Shagamaw Frame - 2016","3","6","2016","1320.99"
"6","Surly Ice Cream Truck Frameset - 2016","8","6","2016","469.99"
"7","Trek Slash 8 27.5 - 2016","9","6","2016","3999.99"
"8","Trek Remedy 29 Carbon Frameset - 2016","9","6","2016","1799.99"
"9","Trek Conduit+ - 2016","9","5","2016","2999.99"
"10","Surly Straggler - 2016","8","4","2016","1549"
"11","Surly Straggler 650b - 2016","8","4","2016","1680.99"
"12","Electra Townie Original 21D - 2016","1","3","2016","549.99"
"13","Electra Cruiser 1 (24-Inch) - 2016","1","3","2016","269.99"
"14","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","1","3","2016","269.99"
"15","Electra Moto 1 - 2016","1","3","2016","529.99"
"16","Electra Townie Original 7D EQ - 2016","1","3","2016","599.99"
