"order_id","customer_id","order_status","order_date","required_date","shipped_date","store_id","staff_id"
"51","1047","4","2016-02-01","2016-02-02","2016-02-03","2","7"
"52","767","4","2016-02-03","2016-02-04","2016-02-05","1","2"
"53","965","4","2016-02-03","2016-02-04","2016-02-05","2","6"
"54","535","4","2016-02-04","2016-02-07","2016-02-07","2","7"
"55","1173","4","2016-02-04","2016-02-07","2016-02-06","2","6"
"56","1241","4","2016-02-04","2016-02-06","2016-02-07","2","6"
"57","1305","4","2016-02-04","2016-02-06","2016-02-06","2","7"
"58","504","4","2016-02-05","2016-02-07","2016-02-07","2","6"
"59","563","4","2016-02-05","2016-02-07","2016-02-06","2","7"
"60","151","4","2016-02-06","2016-02-08","2016-02-07","1","3"
"61","277","4","2016-02-06","2016-02-09","2016-02-09","2","7"
"62","208","4","2016-02-07","2016-02-10","2016-02-10","1","2"
"63","1075","4","2016-02-07","2016-02-09","2016-02-09","2","7"
"64","1185","4","2016-02-07","2016-02-08","2016-02-09","2","6"
"65","996","4","2016-02-08","2016-02-09","2016-02-11","2","6"
"66","1253","4","2016-02-09","2016-02-12","2016-02-12","2","7"
"67","526","4","2016-02-09","2016-02-11","2016-02-10","3","8"
"68","381","4","2016-02-10","2016-02-11","2016-02-13","2","6"
"69","1413","4","2016-02-10","2016-02-12","2016-02-11","2","7"
"70","50","3","2016-02-11","2016-02-11",NULL,"3","9"
"71","797","4","2016-02-11","2016-02-14","2016-02-12","2","7"
"72","1386","4","2016-02-12","2016-02-15","2016-02-13","1","2"
"73","612","4","2016-02-12","2016-02-15","2016-02-14","2","7"
"74","264","4","2016-02-13","2016-02-15","2016-02-15","2","7"
"75","587","4","2016-02-14","2016-02-15","2016-02-17","2","6"
"76","9","3","2016-02-16","2016-02-16",NULL,"2","6"
"77","385","4","2016-02-16","2016-02-19","2016-02-19","1","2"
"78","1182","4","2016-02-16","2016-02-18","2016-02-19","2","7"
"79","529","4","2016-02-17","2016-02-20","2016-02-20","1","3"
"80","397","4","2016-02-17","2016-02-20","2016-02-19","2","6"
"81","521","4","2016-02-17","2016-02-19","2016-02-18","2","6"
"82","1223","4","2016-02-18","2016-02-21","2016-02-20","2","6"
"83","393","4","2016-02-19","2016-02-20","2016-02-20","1","3"
"84","317","4","2016-02-20","2016-02-22","2016-02-21","2","7"
"85","1174","4","2016-02-20","2016-02-23","2016-02-21","2","7"
"86","276","4","2016-02-21","2016-02-22","2016-02-23","2","7"
"87","516","4","2016-02-21","2016-02-22","2016-02-23","2","6"
"88","1069","4","2016-02-21","2016-02-22","2016-02-23","2","6"
"89","668","4","2016-02-21","2016-02-24","2016-02-24","3","8"
"90","414","4","2016-02-23","2016-02-25","2016-02-24","2","7"
"91","648","4","2016-02-25","2016-02-27","2016-02-28","1","2"
"92","1309","4","2016-02-25","2016-02-28","2016-02-28","2","7"
"93","1328","4","2016-02-26","2016-02-28","2016-02-27","1","3"
"94","929","4","2016-02-27","2016-02-28","2016-02-29","1","2"
"95","218","4","2016-02-27","2016-02-29","2016-02-28","2","7"
"96","1094","4","2016-02-27","2016-02-29","2016-02-28","2","7"
"97","204","4","2016-02-28","2016-02-29","2016-03-01","2","7"
"98","1194","4","2016-02-28","2016-02-29","2016-02-29","2","6"
"99","1165","4","2016-02-29","2016-03-01","2016-03-03","3","9"
"686","380","4","2017-02-01","2017-02-03","2017-02-04","2","7"
"687","530","4","2017-02-02","2017-02-05","2017-02-04","1","3"
"688","343","4","2017-02-02","2017-02-03","2017-02-05","2","7"
"689","884","4","2017-02-02","2017-02-03","2017-02-05","2","7"
"690","1097","4","2017-02-03","2017-02-04","2017-02-06","1","2"
"691","1081","4","2017-02-04","2017-02-06","2017-02-06","2","7"
"692","2","3","2017-02-05","2017-02-05",NULL,"1","3"
"693","1233","4","2017-02-05","2017-02-07","2017-02-06","1","3"
"694","58","4","2017-02-05","2017-02-06","2017-02-08","2","7"
"695","606","4","2017-02-05","2017-02-08","2017-02-07","2","7"
"696","1242","4","2017-02-05","2017-02-08","2017-02-08","2","7"
"697","562","4","2017-02-06","2017-02-08","2017-02-09","1","2"
"698","543","4","2017-02-06","2017-02-08","2017-02-09","3","8"
"699","958","4","2017-02-06","2017-02-08","2017-02-09","3","9"
"700","4","4","2017-02-07","2017-02-10","2017-02-08","2","6"
"701","850","4","2017-02-07","2017-02-08","2017-02-09","3","9"
"702","1352","4","2017-02-08","2017-02-09","2017-02-11","1","3"
"703","417","4","2017-02-08","2017-02-09","2017-02-09","2","7"
"704","1137","4","2017-02-08","2017-02-09","2017-02-11","2","6"
"705","1196","4","2017-02-08","2017-02-11","2017-02-11","2","7"
"706","1271","4","2017-02-09","2017-02-12","2017-02-10","1","2"
"707","79","4","2017-02-09","2017-02-11","2017-02-11","2","7"
"708","660","4","2017-02-10","2017-02-12","2017-02-11","1","2"
"709","1162","4","2017-02-11","2017-02-13","2017-02-12","2","6"
"710","295","4","2017-02-13","2017-02-15","2017-02-16","2","6"
"711","1246","4","2017-02-13","2017-02-16","2017-02-14","2","6"
"712","173","4","2017-02-13","2017-02-14","2017-02-16","3","9"
"713","207","4","2017-02-13","2017-02-14","2017-02-15","3","8"
"714","805","4","2017-02-14","2017-02-17","2017-02-15","2","7"
"715","12","3","2017-02-15","2017-02-15",NULL,"2","6"
"716","672","4","2017-02-15","2017-02-17","2017-02-18","2","6"
"717","1312","4","2017-02-15","2017-02-18","2017-02-17","2","6"
"718","38","4","2017-02-16","2017-02-17","2017-02-17","2","7"
"719","200","4","2017-02-16","2017-02-19","2017-02-18","2","6"
"720","382","4","2017-02-16","2017-02-19","2017-02-19","2","6"
"721","625","4","2017-02-16","2017-02-19","2017-02-17","2","7"
"722","1399","4","2017-02-18","2017-02-20","2017-02-21","2","7"
"723","845","4","2017-02-19","2017-02-21","2017-02-22","2","6"
"724","864","4","2017-02-19","2017-02-22","2017-02-21","2","6"
"725","870","4","2017-02-19","2017-02-22","2017-02-22","2","7"
"726","969","4","2017-02-19","2017-02-22","2017-02-20","2","6"
"727","962","4","2017-02-19","2017-02-22","2017-02-21","3","9"
"728","1138","4","2017-02-20","2017-02-21","2017-02-23","1","3"
